Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
Y5hsFR0S,MEXICO 1,CLAUSURA,2025-05-12,00:10,Tigres UANL,Necaxa,2.5,2.25,4.5,1.42,2.8,2.8,1.42,6.4,1.11,1.9,3.6,4.0,1.07,9.0,1.31,3.5,1.91,1.9,3.2,1.36,5.9,1.14,1.75,2.0,1.22,1.29,1.91,11.0,12.0,21.0,41.0,7.5,7.0,13.0,34.0,9.0,8.5,15.0,34.0,15.0,15.0,26.0,51.0,201.0
0MR37vvJ,UKRAINE 1,ROUND 28,2025-05-12,09:30,Inhulets,Livyi Bereg,3.85,1.83,3.15,1.6,2.07,0.0,0.0,0.0,0.0,3.05,2.92,2.37,1.13,4.5,1.6,2.07,2.67,1.36,4.45,1.13,0.0,0.0,2.25,1.5,1.55,1.34,1.32,4.85,5.4,9.75,25.0,6.4,6.1,10.75,28.0,13.5,12.5,22.0,60.0,40.0,37.0,70.0,175.0,0.0
hl658RH7,SERBIA 2,CHAMPIONSHIP GROUP,2025-05-12,12:00,Radnik,Vozdovac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8dlhWU9E,SERBIA 2,CHAMPIONSHIP GROUP,2025-05-12,12:00,Mladost GAT,Vrsac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0jwL7lSk,SERBIA 2,RELEGATION GROUP,2025-05-12,12:00,Dubocica,Smederevo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdMqtSwR,ROMANIA 1,RELEGATION GROUP,2025-05-12,12:00,Petrolul,Otelul,3.4,1.91,4.0,1.62,2.27,3.55,1.28,8.5,1.06,2.45,2.9,3.0,1.15,5.4,1.62,2.32,2.82,1.44,5.4,1.15,10.5,1.05,2.25,1.57,1.36,1.4,1.53,6.0,6.5,13.0,34.0,6.0,6.0,13.0,34.0,10.0,11.0,21.0,51.0,26.0,26.0,41.0,81.0,1250.0
UFn1xJbt,BULGARIA 2,ROUND 36,2025-05-12,12:00,Fratria,CSKA 1948 Sofia II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lbM7IO77,BULGARIA 2,ROUND 36,2025-05-12,12:00,Yantra Gabrovo,Belasitsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drYamGM6,CZECH 2,ROUND 28,2025-05-12,12:00,Ostrava B,Opava,2.6,2.2,4.33,1.44,2.62,2.85,1.37,6.2,1.09,1.91,3.4,3.5,1.06,7.1,1.32,3.1,1.93,1.78,3.25,1.3,5.6,1.11,1.83,1.83,1.25,1.29,1.73,10.0,10.0,19.0,41.0,7.0,7.0,13.0,29.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
fBXCsKH5,FINLAND 1,-,2025-05-12,13:00,SJK,VPS,2.63,2.4,3.5,1.31,3.25,2.35,1.55,5.0,1.15,2.1,3.7,3.2,1.04,9.5,1.19,4.35,1.6,2.27,2.4,1.53,4.0,1.22,1.53,2.38,1.36,1.29,1.7,15.0,13.0,19.0,34.0,11.0,7.5,12.0,23.0,12.0,9.0,12.0,26.0,21.0,15.0,21.0,34.0,101.0
