Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-05-07,07:00:00,JAPAN 1,Shonan,Hiroshima,2.72,2.96,1.52,1.58,1.35,1.41,3.4,3.8,1.07,1.13,9.2,15.0,4.1,4.3,2.08,2.1,3.5,3.65,1.9,1.93,1.3,1.33,1.38,1.4,9.0,12.0,1.1,1.12,2.96,3.25,1.44,1.51,1.7,1.74,2.34,2.42,1.25,1.28,4.5,5.0,1.08,1.11,10.0,13.5,2.04,2.14,1.87,1.97,9.8,10.5,6.8,7.6,10.5,11.5,23.0,25.0,10.5,12.0,7.4,8.2,10.0,11.0,23.0,26.0,26.0,29.0,16.0,17.0,20.0,23.0,42.0,60.0,50.0,110.0,42.0,65.0,46.0,85.0,29.0,160.0,65.0,85.0,19.0,22.0,19.5,1000.0,1.243285928,1.24328593,1.243285923,4546954.0,744103.0,58805.0,1.243285925,1.243285926,1.243285929,1.243285973,1.24328597,1.243285974,1.243285971,1.243286009,1.243285934,34282203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,07:00:00,JAPAN 1,FC Machida,Kyoto,2.68,2.9,1.53,1.6,1.34,1.39,3.55,3.9,1.06,1.12,9.6,16.0,2.06,2.12,4.3,4.5,3.4,3.5,1.28,1.31,1.89,1.95,1.4,1.42,8.8,10.5,1.11,1.13,2.9,3.15,1.46,1.52,1.65,1.71,2.4,2.54,1.18,1.31,4.2,6.4,1.05,1.15,4.2,21.0,2.08,2.18,1.84,1.93,9.0,10.0,11.5,12.5,27.0,30.0,44.0,110.0,6.8,7.6,7.2,7.8,16.5,18.5,48.0,70.0,10.0,11.5,10.0,11.0,21.0,24.0,32.0,90.0,22.0,25.0,23.0,26.0,42.0,55.0,29.0,170.0,21.0,24.0,25.0,95.0,16.0,1000.0,1.243297911,1.243297913,1.243297906,6207339.0,441085.0,58805.0,1.243297908,1.243297909,1.243297912,1.243297956,1.243297953,1.243297957,1.243297954,1.243297992,1.243297917,34282553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,10:30:00,SAUDI ARABIA 1,Abha,Al Najma Club,3.3,3.55,1.39,1.43,1.49,1.54,2.84,3.05,1.12,1.15,7.6,9.4,2.68,3.2,2.28,2.62,3.55,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.8,1.27,1.33,2.04,2.22,1.82,1.97,1.38,1.46,3.1,3.7,1.15,1.19,5.7,110.0,0.0,0.0,0.0,0.0,1.03,19.0,1.03,15.0,1.03,21.0,1.03,46.0,1.03,15.0,1.03,10.0,1.03,14.5,1.03,32.0,1.03,24.0,1.03,13.5,1.03,1000.0,1.03,46.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,22.0,1000.0,1.01,24.0,1.03,1000.0,1.243378155,1.243378147,1.243378151,10732580.0,6818023.0,58805.0,1.243378152,0.0,0.0,1.243378153,1.243378148,1.243378156,1.243378157,0.0,1.243378154,34288103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,11:00:00,EGYPT 1,El Gounah,Future FC,2.12,2.22,1.83,1.89,1.2,1.23,5.4,6.0,1.03,1.05,18.0,110.0,3.95,4.0,2.56,2.62,2.7,2.76,1.61,1.64,1.33,1.34,1.56,1.59,5.2,5.6,1.22,1.24,2.04,2.1,1.91,1.96,1.31,1.34,3.9,4.2,1.1,1.11,10.0,12.0,1.02,1.03,26.0,55.0,2.5,2.8,1.55,1.67,2.8,90.0,3.15,13.5,1.56,32.0,1.61,110.0,3.85,15.5,3.4,42.0,1.56,34.0,1.62,140.0,1.57,42.0,1.58,46.0,1.6,70.0,1.64,1000.0,1.62,200.0,1.62,190.0,1.63,260.0,1.64,1000.0,1.63,600.0,1.63,600.0,1.64,1000.0,1.243317925,1.243317928,1.243317914,5202561.0,41860831.0,58805.0,1.243317918,1.24331792,1.243317926,1.243317989,1.243317984,1.243317992,1.243317986,1.243318032,1.243317937,34283882.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,11:00:00,BULGARIA 1,CSKA 1948 Sofia,Hebar,3.75,4.1,1.33,1.36,1.6,1.65,2.52,2.68,1.15,1.18,6.4,7.4,1.33,1.34,12.0,14.5,5.5,5.9,1.07,1.08,3.9,4.2,1.21,1.23,18.5,26.0,1.04,1.05,4.8,6.4,1.21,1.25,2.34,2.52,1.66,1.74,1.52,1.58,2.72,2.92,1.2,1.24,5.0,6.4,2.02,2.28,1.8,1.88,21.0,1000.0,14.0,1000.0,7.8,160.0,11.0,1000.0,8.2,9.6,10.5,13.0,17.0,110.0,10.5,250.0,7.0,8.2,8.8,10.5,15.0,80.0,10.5,210.0,9.2,11.0,7.2,25.0,16.0,100.0,28.0,240.0,4.6,5.2,15.0,370.0,11.0,1000.0,1.243261819,1.243261821,1.243261814,20732043.0,20716789.0,58805.0,1.243261816,1.243261817,1.24326182,1.243261864,1.243261861,1.243261865,1.243261862,1.2432619,1.243261825,34280202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only
2025-05-07,12:00:00,CZECH 1,Banik Ostrava B,Slavia Praha B,3.7,3.95,1.34,1.37,1.58,1.64,2.58,2.7,1.15,1.18,6.4,7.6,3.5,3.9,2.04,2.16,3.6,4.1,1.87,1.95,1.34,1.39,1.33,1.38,1.1,26.0,1.05,1.06,4.7,6.4,1.21,1.25,2.34,2.54,1.65,1.74,1.56,1.61,2.62,2.86,1.21,1.25,5.0,6.6,1.59,1.72,2.38,2.68,9.0,90.0,6.2,29.0,7.2,32.0,7.2,110.0,7.8,100.0,4.8,14.0,5.5,40.0,9.6,38.0,12.5,100.0,6.8,30.0,7.6,30.0,7.6,150.0,8.8,150.0,8.0,100.0,8.2,120.0,8.8,580.0,7.4,600.0,5.4,55.0,7.2,850.0,1.243427089,1.24342709,1.243427091,25130637.0,25328480.0,58805.0,1.243427079,1.243427128,1.24342708,1.243427081,1.243427082,1.243427083,1.243427084,1.243427126,1.243427127,34292299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,12:00:00,CZECH 1,FC Zbrojovka Brno,Zizkov,3.7,4.1,1.33,1.37,1.59,1.65,2.54,2.7,1.16,1.18,6.2,7.2,1.72,1.82,4.6,5.5,3.95,4.6,1.23,1.28,2.2,2.44,1.28,1.34,15.0,21.0,1.05,1.06,4.8,5.8,1.21,1.26,2.28,2.48,1.68,1.79,1.53,1.59,2.68,2.98,1.21,1.24,4.8,5.7,1.66,1.8,2.24,2.5,7.4,90.0,9.6,100.0,8.4,100.0,10.5,130.0,5.8,29.0,5.4,14.0,7.2,100.0,9.0,120.0,5.6,80.0,5.5,21.0,7.0,100.0,2.86,160.0,9.0,95.0,8.2,70.0,8.0,130.0,9.4,580.0,7.2,29.0,30.0,600.0,8.2,1000.0,1.243427179,1.24342718,1.243427181,9833553.0,50333.0,58805.0,1.243427169,1.243427218,1.24342717,1.243427171,1.243427172,1.243427173,1.243427174,1.243427216,1.243427217,34292311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,12:00:00,CZECH 1,Sparta Prague B,Sigma Olomouc B,3.6,3.95,1.34,1.38,1.57,1.63,2.6,2.76,1.15,1.18,6.4,7.8,1.44,1.51,6.6,8.6,4.8,5.9,1.14,1.17,2.92,3.35,1.2,1.25,15.0,110.0,1.04,1.06,4.7,26.0,1.23,1.27,2.28,2.44,1.7,1.78,1.51,1.57,2.68,2.98,1.19,1.24,3.6,7.0,1.85,2.04,1.96,2.2,7.6,100.0,6.8,100.0,8.0,100.0,8.6,1000.0,5.1,36.0,5.2,42.0,6.8,100.0,4.3,130.0,6.0,19.5,5.2,15.0,7.6,100.0,8.0,230.0,8.4,90.0,6.2,34.0,7.0,120.0,8.2,580.0,5.3,13.0,15.0,140.0,8.2,1000.0,1.243427323,1.243427325,1.243427318,5964774.0,10079892.0,58805.0,1.24342732,1.243427321,1.243427324,1.243427368,1.243427365,1.243427369,1.243427366,1.243427404,1.243427329,34292304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,12:30:00,CZECH 1,Varnsdorf,Vysocina Jihlava,3.3,3.5,1.4,1.44,1.48,1.53,2.88,3.1,1.12,1.15,7.8,9.4,1.92,1.99,3.9,4.5,3.6,4.1,1.28,1.33,2.0,2.1,1.33,1.38,13.5,18.0,1.06,1.08,4.0,4.6,1.28,1.33,2.04,2.2,1.84,1.97,1.42,1.46,3.15,3.5,1.15,1.18,6.2,7.8,1.72,1.88,2.12,2.38,6.0,100.0,6.8,210.0,5.8,130.0,2.3,250.0,5.1,100.0,4.7,42.0,6.2,100.0,8.4,250.0,5.7,100.0,5.2,40.0,6.4,100.0,2.3,340.0,7.0,900.0,6.8,100.0,5.9,140.0,2.3,580.0,5.8,60.0,4.5,600.0,8.2,1000.0,1.243427859,1.243427861,1.243427854,4142631.0,770021.0,58805.0,1.243427856,1.243427857,1.24342786,1.243427904,1.243427901,1.243427905,1.243427902,1.24342794,1.243427865,34292353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-07,12:30:00,CZECH 1,MFK Chrudim,Prostejov,3.2,3.4,1.41,1.45,1.47,1.51,2.96,3.2,1.11,1.14,8.2,10.0,2.22,2.34,3.4,3.6,3.6,3.95,1.4,1.42,1.74,1.82,1.35,1.39,11.0,15.5,1.07,1.09,3.7,4.3,1.32,1.37,1.92,2.06,1.94,2.1,1.36,1.4,3.45,3.75,1.13,1.16,7.0,8.8,1.74,1.91,2.08,2.34,6.0,1000.0,6.0,85.0,9.0,120.0,8.8,210.0,5.3,25.0,4.7,14.0,5.9,100.0,8.0,210.0,6.0,100.0,5.5,40.0,6.6,100.0,2.74,280.0,7.8,900.0,7.4,100.0,8.2,100.0,2.52,580.0,7.0,55.0,4.5,1000.0,8.2,1000.0,1.243427661,1.243427663,1.243427656,5727460.0,6607086.0,58805.0,1.243427658,1.243427659,1.243427662,1.243427706,1.243427703,1.243427707,1.243427704,1.243427742,1.243427667,34292370.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
